player,team,pos,salary,proj
Keelan Cole Sr.,JAX,WR,3600,11.9
Sterling Shepard,NYG,WR,5100,11.8
Brandon Aiyuk,SF,WR,5600,11.8
Breshad Perriman,NYJ,WR,4200,11.7
Michael Pittman Jr.,IND,WR,5000,11.6
Sammy Watkins,KC,WR,4700,11.3
Denzel Mims,NYJ,WR,3500,11.2
T.Y. Hilton,IND,WR,3900,11.2
Russell Gage,ATL,WR,4800,10.9
Josh Reynolds,LA,WR,4300,10.8
Gabriel Davis,BUF,WR,3000,10.7
Laviska Shenault Jr.,JAX,WR,3300,10.7
Henry Ruggs III,LV,WR,4300,10.5
Andy Isabella,ARI,WR,3000,10.2
Jakeem Grant,MIA,WR,3700,10.2
Damiere Byrd,NE,WR,4100,9.7
Rashard Higgins,CLE,WR,4700,9.6
Zach Pascal,IND,WR,4100,9.4
Olamide Zaccheaus,ATL,WR,3800,9.3
A.J. Green,CIN,WR,3600,8.8
N'Keal Harry,NE,WR,3400,8.7
Jerry Jeudy,DEN,WR,5100,8.6
Emmanuel Sanders,NO,WR,4800,8.5
Mecole Hardman,KC,WR,4200,8.3
Hunter Renfrow,LV,WR,4000,8.1
Collin Johnson,JAX,WR,3000,7.4
Jalen Guyton,LAC,WR,3100,7.4
Chad Beebe,MIN,WR,3000,7.3
Golden Tate,NYG,WR,3500,7.0
Olabisi Johnson,MIN,WR,3000,6.9
KhaDarel Hodge,CLE,WR,3200,6.9
Tim Patrick,DEN,WR,4900,6.8
Kendrick Bourne,SF,WR,4000,6.4
KJ Hamler,DEN,WR,3500,5.8
Tre'Quan Smith,NO,WR,3100,5.0

