playerid,player,salary,opp,pos,team,proj,floor,ceil
328181,Mason Rudolph,4300,CLE,QB,PIT,16.42,8.8,24.4
11614,Matt Ryan,5900,TBB,QB,ATL,19.31,11.6,25.9
13586,Mohamed Sanu,3000,MIN,WR,DET,7.58,3.0,13.5
11613,Matthew Stafford,5600,MIN,QB,DET,19.03,11.4,27.4
35674,Mike Thomas,3000,BAL,WR,CIN,1.21,0.05249999999999999,5.2
36854,Mitchell Trubisky,5600,GBP,QB,CHI,18.37,9.8,27.8
328275,Marquez Valdes-Scantling,3600,CHI,WR,GB,4.97,1.0,10.7
21555,Maxx Williams,2500,LAR,TE,ARI,2.77,0.0,6.6
37037,Mike Williams,5000,KCC,WR,LAC,10.89,4.5,17.8
21708,Nelson Agholor,5400,DEN,WR,LVR,10.53,4.6,17.7
508241,Nick Bellore,4000,SFO,RB,SEA,0.2,-0.2,4.5
36957,Noah Brown,3000,NYG,WR,DAL,2.17,0.2925,7.0
328152,Nick Chubb,7600,PIT,RB,CLE,15.1,6.3,24.7
973054,Noah Fant,4400,LVR,TE,DEN,10.99,5.5,17.4
972721,N'Keal Harry,3100,NYJ,WR,NE,7.93,2.9,14.4
328494,Nyheim Hines,4900,JAC,RB,IND,13.47,4.9,23.2
328093,Nick Keizer,3200,LAC,TE,KC,5.25,1.9,9.5
35685,Nick Vannett,2500,LVR,TE,DEN,1.08,0.020000000000000018,4.1
2184953,Nick Westbrook-Ikhine,3000,HOU,WR,TEN,1.17,0.04249999999999998,4.9
982820,Nsimba Webster,3000,ARI,WR,LAR,1.15,0.03749999999999998,4.9
982175,Olabisi Johnson,3000,DET,WR,MIN,1.58,0.14500000000000002,5.5
37028,Pharaoh Brown,2500,TEN,TE,HOU,1.8,0.2,5.7
35666,Pharoh Cooper,3000,NOS,WR,CAR,0.84,-0.04000000000000001,4.7
982345,Penny Hart,3000,SFO,WR,SEA,0.14,-0.215,4.0
1104969,Patrick Laird,4000,BUF,RB,MIA,0.36,-0.16,4.7
523069,Patrick Ricard,4000,CIN,RB,BAL,1.66,0.16499999999999998,6.8
11603,Philip Rivers,6000,JAC,QB,IND,20.13,13.1,27.6
1844245,Quintez Cephus,3000,MIN,WR,DET,3.92,0.6,8.9
35503,Robby Anderson,5600,NOS,WR,CAR,16.73,8.7,24.3
1844804,Raymond Calais,4000,ARI,RB,LAR,1.18,0.044999999999999984,5.4
37962,River Cracraft,3000,SEA,WR,SF,3.79,0.5,8.7
329008,Ross Dwelley,2500,SEA,TE,SF,0.41,-0.14750000000000002,3.6
328829,Royce Freeman,4000,LVR,RB,DEN,4.48,0.1,10.7
328706,Russell Gage,5100,TBB,WR,ATL,13.52,6.9,20.2
18552,Ryan Griffin,2500,NEP,TE,NYJ,0.58,-0.10500000000000001,3.8
11791,Rob Gronkowski,4500,ATL,TE,TB,8.72,3.7,14.0
35427,Rashard Higgins,4500,PIT,WR,CLE,9.98,4.0,17.0
329004,Richie James,3100,SEA,WR,SF,8.36,3.5,14.3
328794,Ronald Jones,5900,ATL,RB,TB,14.07,5.2,22.7
328333,Ray-Ray McCloud,3000,CLE,WR,PIT,2.42,0.355,6.6
328211,Ryan Nall,4000,GBP,RB,CHI,0.25,-0.1875,4.5
329038,Rashaad Penny,4000,SFO,RB,SEA,6.62,1.6,13.3
1844742,Rodney Smith,4000,NOS,RB,CAR,12.37,4.9,20.6
13557,Ryan Tannehill,7000,HOU,QB,TEN,20.87,12.5,30.3
36860,Robert Tonyan,5000,CHI,TE,GB,7.65,3.2,13.2
13560,Russell Wilson,7300,SFO,QB,SEA,23.99,14.7,33.5
16566,Robert Woods,6300,ARI,WR,LAR,16.65,8.5,24.1
1849808,Salvon Ahmed,4400,BUF,RB,MIA,5.39,1.0,11.6
