id,full_name,team,pos,proj
152,KJ Hamler,DEN,WR,8.7
153,Henry Ruggs III,LV,WR,8.7
154,Hunter Renfrow,LV,WR,8.6
155,Golden Tate,NYG,WR,8.6
156,Cowboys,DAL,DST,8.6
157,Phillip Lindsay,DEN,RB,8.3
158,Jakeem Grant,MIA,WR,8.3
159,Peyton Barber,WAS,RB,8.3
160,Marquez Valdes-Scantling,GB,WR,8.2
161,Keelan Cole,JAX,WR,8.2
162,Tyler Higbee,LA,TE,8.2
163,Kyle Rudolph,MIN,TE,8.2
164,Larry Fitzgerald,ARI,WR,8.1
165,Luke Willson,BAL,TE,8.1
166,Emmanuel Sanders,NO,WR,8.1
167,Jordan Reed,SF,TE,8
168,Austin Hooper,CLE,TE,7.9
169,Zach Pascal,IND,WR,7.9
170,Ty Johnson,NYJ,RB,7.9
171,Frank Gore,NYJ,RB,7.9
172,Duke Johnson,HOU,RB,7.7
173,Laviska Shenault Jr.,JAX,WR,7.6
174,Chad Hansen,HOU,WR,7.5
175,Josh Reynolds,LA,WR,7.5
176,Cardinals,ARI,DST,7.5
177,Rams,LA,DST,7.5
178,49ers,SF,DST,7.5
179,Zack Moss,BUF,RB,7.4
180,Jalen Reagor,PHI,WR,7.4
181,Kendrick Bourne,SF,WR,7.4
182,Anthony Firkser,TEN,TE,7.4
183,Panthers,CAR,DST,7.4
184,Trey Burton,IND,TE,7.3
185,David Moore,SEA,WR,7.3
186,Cam Sims,WAS,WR,7.3
187,Cole Kmet,CHI,TE,7.2
188,Tyler Eifert,JAX,TE,7.2
189,Jacob Hollister,SEA,TE,7.1
190,Brandon Zylstra,CAR,WR,7
191,Jeff Wilson Jr.,SF,RB,7
192,Quintez Cephus,DET,WR,6.9
193,Le'Veon Bell,KC,RB,6.9
194,Gerald Everett,LA,TE,6.9
195,Will Dissly,SEA,TE,6.9
196,Titans,TEN,DST,6.9
197,Drew Sample,CIN,TE,6.8
198,N'Keal Harry,NE,WR,6.8
199,Jared Cook,NO,TE,6.8
200,Texans,HOU,DST,6.8
